EmployeeID,Department,Gender,Age,YearsExperience,Salary,PerformanceScore,SatisfactionScore
1060,Marketing,Male,24,1,54904.82,8.0,7.5
1061,Sales,Male,26,5,56542.32,6.8,8.8
1062,HR,Male,47,25,97133.35,6.0,8.0
1063,Engineering,Female,30,8,100063.12,7.3,9.4
1064,Finance,Male,30,8,64650.33,8.6,6.4
1065,Finance,Female,52,30,67558.51,7.3,6.3
1066,Marketing,Male,47,23,73782.66,7.7,7.9
1067,Finance,Female,39,17,61355.32,5.7,6.4
1068,Marketing,Female,35,10,52347.35,6.2,4.7
1069,Engineering,Female,59,38,99644.24,7.6,7.8
1070,Engineering,Male,23,0,77915.85,5.9,7.2
1071,HR,Male,33,8,42389.64,8.5,8.9
1072,Sales,Male,56,32,73759.41,7.2,6.6
1073,HR,Female,32,8,34090.13,9.7,6.2
1074,Engineering,Female,45,20,93852.54,5.1,8.6
1075,Sales,Female,32,9,49563.32,4.7,8.5
1076,Sales,Male,38,13,54689.65,6.5,8.2
1077,Engineering,Male,35,11,93101.99,7.4,9.8
1078,Sales,Female,25,0,57361.35,8.0,4.3
1079,Marketing,Female,37,16,62037.09,7.6,5.8
1080,HR,Male,46,21,74674.88,7.9,5.7
1081,Finance,Male,59,34,76126.9,8.1,5.9
1082,Finance,Male,59,35,97099.41,5.4,6.2
1083,Marketing,Female,48,24,67159.7,8.4,7.3
1084,Marketing,Male,47,25,65591.72,8.2,6.5
1085,HR,Male,38,16,55883.92,7.5,7.3
1086,Sales,Male,50,27,73176.66,6.5,6.3
1087,Sales,Male,29,7,39685.02,6.7,10.0
1088,Finance,Male,54,30,98687.13,6.9,10.0
1089,Finance,Female,50,29,98325.81,7.7,4.6
1090,Engineering,Male,55,31,124034.19,5.8,7.0
1091,Sales,Female,43,22,49040.39,7.1,7.0
1092,Sales,Female,27,3,49574.71,6.6,5.3
1093,HR,Female,41,17,50237.65,8.0,8.1
1094,Engineering,Male,29,5,84722.13,7.4,6.7
1095,Marketing,Male,42,19,62546.03,8.1,6.1
1096,Engineering,Male,48,27,91352.61,6.6,7.9
1097,Engineering,Female,38,14,107199.12,6.4,4.4
1098,Engineering,Male,42,19,83970.21,8.9,6.1
1099,Engineering,Female,50,28,84799.86,4.8,3.5
1100,Marketing,Female,26,4,66430.45,8.7,8.2
1101,Engineering,Female,27,5,96812.73,8.7,6.4
1102,Sales,Male,24,1,47335.62,4.9,7.8
1103,HR,Female,22,1,50702.66,8.2,8.1
1104,Finance,Female,52,29,78001.34,6.7,7.0
1105,Engineering,Female,44,21,76516.0,8.7,5.0
1106,HR,Male,40,18,50383.47,6.2,5.3
1107,Marketing,Male,52,27,71177.56,4.5,5.7
1108,Marketing,Male,53,31,55253.02,6.1,8.4
1109,Engineering,Female,44,23,81013.3,8.2,8.2
1110,Engineering,Male,55,30,94074.46,7.2,6.3
1111,Engineering,Male,41,18,110343.85,5.6,7.8
1112,Engineering,Female,31,6,98428.63,5.9,5.9
1113,Engineering,Female,55,32,96091.73,6.9,4.3
1114,Engineering,Female,46,24,93769.57,6.8,6.7
1115,Sales,Male,29,5,66364.62,6.6,4.6
1116,Engineering,Male,25,0,79458.76,7.2,7.4
1117,Marketing,Male,51,30,71288.36,7.0,4.8
1118,Engineering,Female,50,25,86696.14,7.6,6.8
1119,HR,Male,34,12,55054.21,8.1,4.0
1120,Finance,Female,41,16,84287.09,8.9,7.9
1121,Engineering,Male,42,21,81131.7,5.2,7.2
1122,Engineering,Male,58,35,103807.44,7.2,
1123,Sales,Male,34,11,65222.56,6.2,7.9
1124,Sales,Male,21,0,48728.24,6.2,8.5
1125,Engineering,Male,33,11,69683.49,8.0,7.5
1126,Finance,Female,56,31,80246.41,5.3,7.6
1127,HR,Male,25,4,73485.17,6.5,5.8
1128,Engineering,Male,24,3,80291.43,6.6,5.0
1129,Engineering,Female,26,4,75063.08,8.7,7.5
1130,Engineering,Female,26,2,89532.58,6.5,6.0
1131,Engineering,Female,54,33,89605.64,6.9,7.7
1132,Sales,Female,46,22,52716.53,6.2,1.4
1133,Marketing,Male,57,36,72337.88,6.2,5.9
1134,Sales,Male,27,5,66362.31,6.1,5.1
1135,Sales,Male,50,29,66325.66,7.0,7.3
1136,Sales,Male,50,29,62614.3,4.3,7.9
1137,Finance,Male,35,13,75093.83,5.9,5.2
1138,Finance,Female,40,18,64211.52,7.1,5.1
1139,Marketing,Female,54,32,56890.54,7.0,9.0
1140,Sales,Female,27,6,72603.3,7.1,9.0
1141,Engineering,Female,51,27,91441.27,6.4,6.6
1142,Marketing,Male,58,33,68228.64,5.6,7.5
1143,Sales,Female,47,24,60233.03,8.4,7.2
1144,Marketing,Female,47,23,56438.57,7.3,3.6
1145,Sales,Female,34,11,63495.89,5.8,4.9
1146,Finance,Female,41,18,50831.41,8.4,8.4
1147,Engineering,Female,54,29,97877.71,8.0,6.8
1148,Sales,Male,29,6,49300.7,9.8,6.5
1149,Sales,Male,43,22,63087.85,7.2,8.1
1150,Sales,Female,34,13,64819.57,7.3,7.0
1151,HR,Female,48,27,58952.03,7.8,7.3
1152,Sales,Female,50,26,51639.6,8.5,3.5
1153,Engineering,Female,39,14,94081.3,7.1,5.4
1154,Engineering,Male,46,24,92582.08,5.9,6.1
1155,Finance,Male,46,25,92573.37,6.6,6.7
1156,Finance,Male,46,21,69074.17,9.9,7.4
1157,Engineering,Male,59,34,114366.16,6.9,6.7
1158,Engineering,Female,35,10,81470.79,10.0,4.4
1159,Engineering,Female,42,20,81985.23,4.3,7.6
1160,Finance,Male,36,14,47783.03,6.7,5.6
1161,Finance,Male,45,21,72309.96,7.4,7.2
1162,Sales,Male,26,5,59874.63,5.1,4.4
1163,Finance,Male,24,0,63905.85,6.8,8.7
1164,HR,Male,45,24,53913.15,7.1,5.3
1165,Marketing,Male,38,15,69623.68,7.7,2.3
1166,HR,Male,34,9,60799.61,6.9,3.5
1167,Engineering,Female,54,30,88528.35,9.1,6.5
1168,Marketing,Female,49,24,74000.05,6.1,7.1
1169,Marketing,Female,44,19,72828.96,5.5,10.0
1170,Marketing,Female,57,33,92913.99,8.0,
1171,HR,Female,28,5,42428.81,8.3,6.6
1172,Marketing,Male,53,28,51509.17,7.4,6.3
1173,Sales,Male,41,16,60991.16,6.0,6.6
1174,Engineering,Male,54,32,85036.68,4.4,5.7
1175,HR,Male,32,7,41695.59,7.6,7.1
1176,Engineering,Female,54,33,95160.69,7.5,5.2
1177,Engineering,Female,31,6,87680.27,9.3,6.7
1178,Engineering,Female,36,11,85883.76,4.7,7.7
1179,Sales,Female,29,5,58951.72,6.9,5.5
1180,Engineering,Male,23,0,86779.42,10.0,5.8
1181,Finance,Female,57,34,77837.22,7.9,6.4
1182,Engineering,Male,25,0,93562.82,5.5,7.5
1183,Finance,Male,43,18,89865.49,8.9,5.2
1184,Engineering,Male,33,12,87582.65,5.4,10.0
1185,Engineering,Female,40,18,101439.99,7.2,8.8
1186,Sales,Female,32,7,59986.36,8.1,8.3
1187,Sales,Male,42,17,58253.46,5.6,7.3
1188,Sales,Male,56,35,63405.5,4.6,5.0
1189,Engineering,Male,41,16,108608.67,5.6,4.4
1190,Marketing,Male,48,27,57268.66,8.8,6.6
1191,Engineering,Male,51,26,83255.62,7.6,6.8
1192,Engineering,Male,38,13,99198.61,7.3,4.2
1193,Sales,Female,35,10,57852.36,5.1,5.3
1194,Engineering,Male,54,33,80868.1,8.5,10.0
1195,Sales,Female,32,9,45175.39,7.1,7.3
1196,Sales,Female,52,30,61257.27,6.0,5.3
1197,HR,Female,33,8,39650.39,6.2,5.1
1198,Finance,Female,32,10,68854.84,4.1,5.2
1199,Engineering,Male,33,11,83337.14,6.9,7.1
1200,Marketing,Male,22,0,56831.56,6.1,6.7
1201,Sales,Female,56,31,53138.12,6.3,8.0
1202,Finance,Male,33,12,69528.65,8.2,3.8
1203,Finance,Female,41,17,76622.27,9.2,
1204,HR,Female,33,12,37713.9,4.8,9.2
1205,Engineering,Male,58,33,82713.65,7.7,6.8
1206,Marketing,Female,22,1,65812.98,5.8,4.4
1207,Marketing,Male,46,24,61162.78,6.6,6.9
1208,Finance,Female,58,35,69286.48,6.6,7.5
1209,Sales,Female,28,6,63093.88,6.6,6.6
1210,Finance,Male,40,16,71394.1,7.4,7.0
1211,Engineering,Male,51,26,77857.64,7.1,5.2
1212,Marketing,Male,30,5,53274.55,7.6,6.3
1213,Sales,Male,42,17,61491.42,4.3,4.2
1214,Engineering,Female,51,29,104351.37,4.3,
1215,Engineering,Female,41,17,77931.62,5.8,8.0
1216,Finance,Male,27,6,71177.9,7.5,6.8
1217,Sales,Male,25,1,62699.72,7.6,6.5
1218,Sales,Female,56,35,40139.13,7.8,7.5
1219,Finance,Male,55,34,78500.3,3.9,6.6
1220,Finance,Female,28,4,74815.5,6.4,5.6
1221,Sales,Female,40,18,59147.69,8.7,10.0
1222,Finance,Male,48,25,75049.8,6.9,5.4
1223,Marketing,Male,26,4,45355.16,7.8,6.1
1224,Finance,Male,27,5,73128.03,7.7,7.7
1225,Finance,Female,25,4,66300.48,6.6,6.3
1226,Finance,Female,36,12,63079.24,5.2,10.0
1227,Engineering,Male,49,25,96838.5,7.8,8.5
1228,Sales,Female,28,7,58809.84,5.8,10.0
1229,Sales,Male,35,12,53725.14,7.9,8.9
1230,Marketing,Female,51,30,71366.97,7.8,7.9
1231,Engineering,Female,45,22,91389.7,5.9,7.3
1232,Sales,Female,54,33,63650.15,8.1,7.9
1233,Sales,Male,21,0,75567.69,7.6,7.3
1234,Sales,Male,36,12,58248.35,6.7,5.7
1235,Engineering,Female,38,17,83939.35,6.3,3.2
1236,Sales,Male,25,3,57916.75,6.0,10.0
1237,Marketing,Male,30,7,66878.04,8.2,8.6
1238,Marketing,Female,40,17,63031.31,7.6,7.2
1239,Sales,Male,45,23,47901.87,5.9,6.9
1240,Finance,Female,34,9,73785.83,7.7,8.9
1241,Finance,Male,39,17,70101.83,5.3,8.8
1242,Finance,Female,57,34,76579.86,5.5,2.4
1243,Finance,Female,29,5,80640.0,6.0,7.4
1244,Marketing,Male,45,20,74286.74,7.6,5.5
1245,Sales,Male,50,25,68868.17,4.5,5.8
1246,Finance,Male,26,1,83043.85,3.6,3.1
1247,Finance,Female,47,24,86045.75,4.0,7.5
1248,Engineering,Male,42,19,101181.05,8.3,8.7
1249,HR,Female,50,29,57391.93,8.8,4.9
1250,Engineering,Female,41,20,92459.23,6.8,9.5
1251,Finance,Female,31,9,71162.02,7.1,6.6
1252,HR,Male,47,24,74347.91,7.9,6.3
1253,Sales,Female,34,13,53232.56,3.7,7.0
1254,Marketing,Female,38,13,69544.76,5.4,5.1
1255,Finance,Female,28,7,60074.15,5.8,8.7
1256,Finance,Male,21,0,76059.61,7.1,6.5
1257,Finance,Male,39,18,70716.82,4.5,7.2
1258,Marketing,Female,22,0,48155.74,9.6,9.2
1259,Engineering,Female,51,26,101329.53,5.3,7.6
1260,Marketing,Female,52,29,72527.57,5.5,7.1
1261,Sales,Female,43,22,60275.13,4.9,5.5
1262,Engineering,Male,47,24,89015.76,7.4,6.8
1263,Engineering,Female,41,19,88924.52,6.7,5.9
1264,Sales,Male,58,37,77816.49,8.9,6.7
1265,Engineering,Female,56,31,93160.64,5.4,6.3
1266,Finance,Male,27,6,60008.11,7.6,6.5
1267,Marketing,Male,38,15,69984.88,8.9,9.2
1268,Sales,Male,33,11,43516.23,8.8,4.5
1269,Marketing,Male,23,0,55970.16,7.3,3.6
1270,Marketing,Female,37,15,70914.18,5.5,10.0
1271,Engineering,Female,45,22,92382.16,6.1,6.2
1272,Engineering,Male,57,34,108006.25,6.3,8.3
1273,Marketing,Female,39,16,83590.66,5.0,8.5
1274,Sales,Male,43,22,52532.55,8.0,7.4
1275,Finance,Male,52,29,70641.42,10.0,6.7
1276,Engineering,Male,37,14,82856.05,6.2,6.6
1277,HR,Female,29,5,45277.12,6.5,7.4
1278,Engineering,Female,35,13,74664.97,6.4,5.8
1279,Finance,Female,55,34,92459.03,7.4,
1280,Sales,Female,26,5,63086.56,7.9,3.1
1281,Finance,Female,38,13,86480.01,8.3,6.3
1282,Finance,Female,34,12,73221.86,7.2,8.4
1283,Sales,Male,33,9,54900.14,7.3,5.2
1284,Marketing,Female,58,35,62299.27,8.0,8.5
1285,Sales,Male,22,0,61999.67,9.6,3.9
1286,Sales,Male,58,35,73253.11,8.2,7.5
1287,Engineering,Male,35,10,91853.59,8.7,7.3
1288,Marketing,Female,49,25,66838.21,4.6,5.0
1289,Sales,Female,32,7,48076.63,7.4,4.5
1290,Sales,Female,55,32,77089.17,6.5,6.9
1291,Engineering,Female,41,17,101670.83,7.0,7.7
1292,Finance,Male,54,29,77972.78,8.0,5.8
1293,Marketing,Male,47,22,65676.97,8.2,10.0
1294,Sales,Female,40,15,60849.33,5.6,5.2
1295,Engineering,Male,39,18,90171.65,7.8,
1296,Sales,Female,44,21,75479.16,6.3,4.0
1297,Marketing,Female,34,11,104145.2,8.4,6.5
1298,Sales,Male,54,32,64877.16,7.1,8.5
1299,Sales,Female,23,0,58417.3,8.9,6.3
1300,Engineering,Male,52,29,93258.09,7.8,6.7
1301,Sales,Female,38,15,51897.45,6.8,5.1
1302,Finance,Female,51,28,76187.98,7.2,4.9
1303,Sales,Male,35,13,51049.98,5.7,6.7
1304,Marketing,Female,36,15,57029.19,4.6,8.9
1305,Sales,Male,29,4,61152.75,6.9,6.1
1306,Sales,Female,57,36,71180.84,7.8,8.3
1307,Engineering,Male,37,16,102070.2,6.9,6.2
1308,Engineering,Female,37,13,98363.88,8.4,5.5
1309,Marketing,Female,26,1,60821.2,6.7,5.2
1310,Finance,Female,28,5,72711.23,9.0,6.5
1311,Engineering,Male,52,30,97533.25,7.9,5.8
1312,Engineering,Female,30,5,85853.98,7.3,7.1
1313,HR,Female,33,10,47052.01,7.8,8.3
1314,Sales,Female,27,5,60221.28,5.8,3.6
1315,Sales,Male,41,19,77057.14,6.3,7.6
1316,Engineering,Female,25,0,92928.62,8.9,9.7
1317,Engineering,Female,49,25,85099.94,5.3,5.0
1318,Finance,Female,22,0,52399.44,7.1,6.5
1319,Marketing,Female,59,36,79117.16,8.5,7.0
1320,Marketing,Male,44,20,65871.28,6.6,3.3
1321,Sales,Female,34,11,38383.02,8.2,5.9
1322,Sales,Male,33,12,38472.44,7.6,9.7
1323,Engineering,Female,42,18,85365.36,8.1,7.5
1324,Sales,Female,29,7,45963.95,9.8,6.8
1325,Sales,Female,35,10,59206.2,6.6,5.2
1326,Finance,Male,58,36,90744.6,8.5,7.5
1327,Engineering,Female,57,34,85262.02,9.9,10.0
1328,Finance,Male,35,11,71994.55,9.4,10.0
1329,Marketing,Female,55,33,80461.71,9.6,3.6
1330,Engineering,Male,42,21,94731.55,6.7,4.9
1331,Finance,Female,45,20,73247.7,7.7,6.3
1332,Engineering,Female,38,17,77012.28,5.8,5.7
1333,Engineering,Female,45,23,102855.35,8.4,1.5
1334,HR,Male,50,28,52735.35,5.7,9.0
1335,Sales,Female,49,27,71196.06,6.9,8.5
1336,HR,Female,33,12,67462.07,9.1,2.2
1337,Finance,Male,28,6,62915.4,7.3,10.0
1338,Marketing,Male,38,16,77748.89,5.7,8.4
1339,Marketing,Male,25,0,58900.3,5.2,5.6
1340,Marketing,Male,33,10,53506.34,5.4,8.6
1341,Sales,Female,46,25,86898.98,7.4,4.2
1342,Engineering,Male,49,28,93507.2,6.9,6.1
1343,Engineering,Female,43,20,101201.64,6.7,6.6
1344,Marketing,Female,57,35,55020.04,7.6,5.9
1345,Sales,Female,42,21,63029.73,7.5,6.2
1346,Engineering,Female,51,30,89317.8,4.9,7.4
1347,Finance,Male,29,5,60256.89,8.5,7.6
1348,Engineering,Male,28,6,73027.36,6.3,7.4
1349,HR,Female,31,7,54236.2,9.7,5.7
1350,Finance,Female,40,15,67012.9,8.0,6.9
1351,HR,Female,30,6,56795.44,6.0,6.1
1352,Engineering,Female,21,0,85380.74,7.5,8.3
1353,HR,Male,25,3,40415.97,8.8,5.7
1354,HR,Female,33,8,39941.45,6.5,9.0
1355,Sales,Male,33,11,59902.45,8.0,6.6
1356,HR,Female,24,3,39975.5,6.5,6.9
1357,Finance,Female,48,23,81483.68,7.1,7.5
1358,Sales,Female,58,36,58244.27,7.1,7.2
1359,Marketing,Male,59,38,80940.68,6.2,7.0
1360,HR,Male,31,10,49719.67,7.2,9.6
1361,Sales,Male,47,26,49514.71,8.6,8.0
1362,Engineering,Male,43,18,88634.61,6.7,5.3
1363,Sales,Male,34,11,51724.87,6.9,7.8
1364,HR,Male,43,21,61765.52,4.6,5.5
1365,Sales,Male,53,28,67968.49,7.9,6.3
1366,Engineering,Female,32,10,83016.77,6.1,4.4
1367,Engineering,Male,55,34,101538.37,4.5,6.5
1368,Marketing,Male,31,6,66386.59,4.5,1.9
1369,HR,Female,46,25,42249.46,5.6,8.6
1370,Sales,Female,23,0,43895.76,4.8,7.4
1371,Marketing,Female,21,0,69851.67,9.1,6.1
1372,Engineering,Male,45,20,101264.57,8.9,7.8
1373,Sales,Female,37,14,51277.73,6.9,7.9
1374,Marketing,Male,29,4,55685.62,8.2,5.3
1375,Engineering,Female,54,29,102489.06,7.4,
1376,Marketing,Male,51,30,48777.81,6.0,7.4
1377,Engineering,Male,30,8,82396.6,8.2,6.1
1378,Sales,Male,46,21,47151.66,7.5,7.0
1379,HR,Female,31,7,47133.69,5.9,8.5
1380,Engineering,Male,34,11,135887.54,8.2,5.7
1381,Finance,Male,54,30,106995.13,7.8,4.7
1382,HR,Female,59,35,66882.78,6.8,2.4
1383,Sales,Female,24,1,66966.81,10.0,6.6
1384,Engineering,Male,54,32,88046.99,7.1,4.5
1385,Engineering,Female,25,1,84042.72,6.4,5.1
1386,HR,Female,25,4,54000.47,4.9,4.0
1387,Engineering,Male,42,17,70263.58,5.3,6.5
1388,HR,Female,25,0,42277.32,6.1,6.7
1389,Marketing,Male,27,6,65248.85,7.2,7.6
1390,Sales,Female,43,19,63243.4,9.2,
1391,Finance,Female,43,19,67163.58,7.7,10.0
1392,Finance,Male,40,17,79376.43,6.2,
1393,Engineering,Female,53,32,88629.2,5.9,6.1
1394,Finance,Female,44,21,79156.58,6.7,7.4
1395,Finance,Male,46,23,64580.11,7.7,7.3
1396,Engineering,Male,47,22,87636.49,7.5,7.0
1397,Marketing,Female,50,25,69800.16,9.9,5.7
1398,Engineering,Female,57,35,106547.18,7.4,4.0
1399,Sales,Female,23,2,69876.91,5.5,4.7
1400,Sales,Male,49,24,50580.71,6.3,9.7
