SepalLength,SepalWidth,PetalLength,PetalWidth,Species
7.43,3.1,5.77,2.27,virginica
6.92,2.62,5.69,1.51,virginica
6.12,3.34,5.82,2.07,virginica
6.42,2.76,6.09,1.55,virginica
5.63,3.11,4.75,2.13,virginica
6.38,2.81,5.19,1.52,virginica
7.2,2.9,5.58,1.29,virginica
5.5,3.38,4.76,2.11,virginica
6.32,3.07,5.21,2.62,virginica
6.69,2.87,6.06,1.84,virginica
7.27,2.6,6.11,2.22,virginica
7.46,3.37,6.09,2.03,virginica
6.31,3.23,5.52,1.91,virginica
6.13,2.9,5.38,2.17,virginica
